name,list1,list2,list3,list4
社團法人新竹市自閉症協進會,1,1,1,0
財團法人福榮融合教育推廣基金會,1,1,1,0
財團法人阿寶教育基金會,1,0,1,1
財團法人宜蘭縣私立宏仁老人長期照顧中心(養護型),1,1,1,0
財團法人慈懷社會福利基金會,1,0,1,1
社團法人雲林縣老人福利保護協會,1,1,1,0
社團法人雲林縣聽語障福利協進會,1,1,1,0
社團法人彰化縣喜樂小兒麻痺關懷協會,1,0,1,1
財團法人第一社會福利基金會,0,1,1,1
財團法人婦女新知基金會,0,1,1,1
財團法人廣青文教基金會,0,1,1,1
財團法人靖娟兒童安全文教基金會,0,1,1,1
財團法人台南市私立天主教瑞復益智中心,0,1,1,1
財團法人台中市私立甘霖社會福利慈善事業基金會,0,1,1,1
財團法人天主教光仁社會福利基金會,0,1,1,1
財團法人天主教善牧社會福利基金會,0,1,1,1
財團法人心路社會福利基金會,0,1,1,1
財團法人新竹市天主教仁愛社會福利基金會,0,1,1,1
社團法人台南市慈光身障協會,0,1,1,1
社團法人台中市開懷協會,0,1,1,1
社團法人中華民國合家歡協會,0,1,1,1
社團法人中華牧羊人青少年關懷協會,0,1,1,1
中華民國基督教女青年會協會,0,1,1,1
社團法人高雄市故事媽媽協會,1,0,1,0
社團法人高雄市心智障礙服務協進會,1,0,1,0
社團法人高雄市殘障服務協會,1,1,0,0
社團法人高雄三山脊損重建協會,1,0,1,0
社團法人高雄市關懷台灣協會,1,0,1,0
社團法人台灣愛克曼兒童及青少年體驗學習協會,1,0,1,0
社團法人高雄市第一志願服務協會,1,0,1,0
社團法人高雄市大高雄生命線協會,1,0,1,0
社團法人高雄市關懷身心障礙者就業協進會,1,1,0,0
社團法人台灣愛之希望協會,1,0,1,0
社團法人高雄市佛光腎臟關懷協會,1,0,1,0
社團法人高雄市婦女新知協會,1,0,1,0
社團法人高雄市築夢關懷協會,1,0,1,0
伊甸社會福利基金會高雄市事務所,1,0,1,0
財團法人聖功社會福利慈善基金會,1,0,1,0
社團法人高雄市慈賢慈善會,1,0,1,0
高雄市聲暉協會,1,0,1,0
高雄市基督教女青年會,1,0,1,0
財團法人天主教社會慈善福利基金會,1,0,1,0
高雄市自強創業協會,1,0,1,0
社團法人高雄市唐氏症歡喜協會,1,1,0,0
財團法人屏東縣私立基督教沐恩之家,1,0,1,0
社團法人高雄市多元家庭關愛協會,1,0,1,0
財團法人恩典文教基金會附設高雄市私立曙光教養中心,1,0,1,0
財團法人日月之光慈善事業基金會,1,0,1,0
高雄市康復之友協會,1,0,1,0
社團法人台灣脊髓肌肉萎縮症病友協會,1,1,0,0
社團法人高雄市超越巔峰關懷協會,1,0,1,0
社團法人台灣信徹蓮池功德會,1,0,1,0
社團法人中華民國普門慈幼慈善會,1,0,1,0
高雄市晚晴婦女協會,1,0,1,0
社團法人高雄市心理復健協會,1,0,0,1
社團法人高雄市惠急慈善會,1,1,0,0
財團法人高雄市私立慈聯社會福利基金會,1,0,1,0
社團法人高雄縣安心會,1,0,1,0
社團法人高雄市家庭照顧者關懷協會,1,0,1,0
高雄市女性權益促進會,1,0,1,0
社團法人高雄市聰動成長協會,1,0,1,0
社團法人高雄市街友關懷協會,1,1,0,0
社團法人高雄市失智症協會,1,0,1,0
社團法人高雄市臻愛天使兒少關懷協會,1,1,0,0
社團法人高雄市生命線協會,1,0,1,0
社團法人台灣揚善社會公益服務協會,1,1,0,0
社團法人高雄市劉大潭希望工程關懷協會,1,1,0,0
社團法人高雄市唇顎裂顱顏協會,1,0,1,0
高雄市自閉症協進會,1,0,1,0
財團法人高雄市私立博正兒童發展中心,1,0,1,0
財團法人地球公民基金會,1,0,0,1
財團法人善慧恩社會慈善基金會,1,0,1,0
財團法人吉祥臻社會福利事業基金會,1,0,1,0
財團法人高雄市林柔蘭社會福利基金會,1,0,1,0
財團法人天主教聖母無原罪方濟傳教修女會附設高雄市私立康達家園,1,0,1,0
財團法人台灣基督教門諾會附設花蓮縣私立黎明教養院,1,0,1,0
社團法人花蓮縣谷若思全人關懷協會,1,0,0,1
財團法人基督教更生團契附設花蓮縣私立信望愛少年學園,1,0,1,0
社團法人花蓮縣啄木鳥全人發展協會,1,0,1,0
財團法人花蓮縣私立博愛居安廬老人安養中心,1,0,1,0
社團法人花蓮縣牛犁社區交流協會,1,0,1,0
財團法人花蓮縣私立吉豐老人養護所,1,0,1,0
花蓮縣鄉村社區大學發展協會,1,0,1,0
財團法人台灣基督教主愛之家輔導中心,1,0,1,0
社團法人花蓮縣康復之友協會,1,0,1,0
社團法人中華優勢社會關懷協會,1,0,1,0
財團法人台灣省私立嘉義博愛仁愛之家,1,0,1,0
中華民國基督教約書亞全人關懷協會,1,0,1,0
社團法人嘉義市肢體障礙服務協會,1,0,1,0
社團法人嘉義市脊髓損傷者協會,1,0,1,0
社團法人嘉義市殘障者服務協會,1,0,1,0
